add-none,2,100,400,389214,973,-39
add-none,2,1000,4000,343109,85,0
add-none,2,10000,40000,759523,18,-231
add-none,2,100000,400000,4434827,11,-17047
add-none,4,100,800,343176,428,0
add-none,4,1000,8000,428788,53,0
add-none,4,10000,80000,1150639,14,3312
add-none,4,100000,800000,10030907,12,45375
add-none,8,100,1600,541562,338,0
add-none,8,1000,16000,441907,27,1650
add-none,8,10000,160000,2033334,12,1694
add-none,8,100000,1600000,19134412,11,-41430
add-none,12,100,2400,558473,232,0
add-none,12,1000,24000,613722,25,795
add-none,12,10000,240000,3097334,12,-5403
add-none,12,100000,2400000,28821961,12,-12937
add-yield-none,2,10,40,330658,8266,0
add-yield-none,4,10,80,343420,4292,0
add-yield-none,8,10,160,494549,3090,14
add-yield-none,12,10,240,604321,2518,0
add-yield-none,2,20,80,310841,3885,19
add-yield-none,4,20,160,333885,2086,16
add-yield-none,8,20,320,436310,1363,45
add-yield-none,12,20,480,573502,1194,31
add-yield-none,2,40,160,321161,2007,8
add-yield-none,4,40,320,403806,1261,16
add-yield-none,8,40,640,507106,792,145
add-yield-none,12,40,960,560938,584,195
add-yield-none,2,80,320,399472,1248,45
add-yield-none,4,80,640,444673,694,52
add-yield-none,8,80,1280,465410,363,172
add-yield-none,12,80,1920,609695,317,90
add-yield-none,2,100,400,427357,1068,43
add-yield-none,4,100,800,412331,515,82
add-yield-none,8,100,1600,520286,325,223
add-yield-none,12,100,2400,655932,273,133
add-yield-none,2,1000,4000,1541960,385,19
add-yield-none,4,1000,8000,1620848,202,168
add-yield-none,8,1000,16000,1870278,116,97
add-yield-none,12,1000,24000,2212808,92,207
add-yield-none,2,10000,40000,13619744,340,-9
add-yield-none,4,10000,80000,13331975,166,-356
add-yield-none,8,10000,160000,14417330,90,62
add-yield-none,12,10000,240000,18643285,77,218
add-yield-none,2,100000,400000,128400300,321,-188
add-yield-none,4,100000,800000,-867878531,-1084,-1234
add-yield-none,8,100000,1600000,145383417,90,-2977
add-yield-none,12,100000,2400000,195438231,81,-2036
add-none,1,100,200,291301,1456,0
add-none,1,1000,2000,317451,158,0
add-none,1,10000,20000,549029,27,0
add-none,1,100000,200000,1578912,7,0
add-none,1,1000000,2000000,13123804,6,0
add-none,2,100,400,314143,785,0
add-none,2,1000,4000,400033,100,663
add-none,2,10000,40000,722014,18,-1584
add-none,2,100000,400000,4812188,12,-17045
add-none,2,1000000,4000000,36928032,9,-172496
add-none,4,100,800,339599,424,0
add-none,4,1000,8000,344638,43,1514
add-none,4,10000,80000,1180037,14,3616
add-none,4,100000,800000,9229152,11,-45751
add-none,4,1000000,8000000,103260127,12,-141200
add-yield-none,1,100,200,391445,1957,0
add-yield-none,1,1000,2000,1422642,711,0
add-yield-none,1,10000,20000,10229473,511,0
add-yield-none,1,100000,200000,103686381,518,0
add-yield-none,1,1000000,2000000,70257475,35,0
add-yield-none,2,100,400,418825,1047,15
add-yield-none,2,1000,4000,1608328,402,-59
add-yield-none,2,10000,40000,13805344,345,-79
add-yield-none,2,100000,400000,127555887,318,-1531
add-yield-none,2,1000000,4000000,-802300346,-200,2059
add-yield-none,4,100,800,537665,672,65
add-yield-none,4,1000,8000,1675439,209,41
add-yield-none,4,10000,80000,12795586,159,-107
add-yield-none,4,100000,800000,129328081,161,1340
add-yield-none,4,1000000,8000000,250873976,31,-13361
add-yield-m,2,10000,40000,37680459,942,0
add-yield-m,4,10000,80000,105549491,1319,0
add-yield-m,8,10000,160000,250984795,1568,0
add-yield-m,12,10000,240000,-616993413,-2570,0
add-yield-c,2,10000,40000,25183896,629,0
add-yield-c,4,10000,80000,52536868,656,0
add-yield-c,8,10000,160000,116878758,730,0
add-yield-c,12,10000,240000,193279885,805,0
add-yield-s,2,10000,40000,24899909,622,0
add-yield-s,4,10000,80000,87318906,1091,0
add-yield-s,8,1000,16000,24431269,1526,0
add-yield-s,12,1000,24000,43124771,1796,0
add-m,1,10000,20000,1072200,53,0
add-m,2,10000,40000,9254117,231,0
add-m,4,10000,80000,19186338,239,0
add-m,8,10000,160000,38305868,239,0
add-m,12,10000,240000,-944133310,-3933,0
add-c,1,10000,20000,648499,32,0
add-c,2,10000,40000,1879252,46,0
add-c,4,10000,80000,6025349,75,0
add-c,8,10000,160000,13157017,82,0
add-c,12,10000,240000,20910354,87,0
add-s,1,10000,20000,602134,30,0
add-s,2,10000,40000,8941987,223,0
add-s,4,10000,80000,37780153,472,0
add-s,8,10000,160000,108765517,679,0
add-s,12,10000,240000,286402733,1193,0
