list-none-none,1,10,1,30,217550,7251
list-none-none,1,100,1,300,270762,902
list-none-none,1,1000,1,3000,3633496,1211
list-none-none,1,10000,1,30000,-402359930,-13411
list-none-none,1,20000,1,60000,-7613449,-126
list-none-none,2,1,1,6,282363,47060
list-none-none,2,10,1,60,243243,4054
list-none-none,2,100,1,600,655339,1092
list-none-none,4,1,1,12,325102,27091
list-none-none,8,1,1,24,458253,19093
list-none-none,12,1,1,36,534904,14858
list-none-none,12,10,1,360,585792,1627
list-i-none,4,1,1,12,312449,26037
list-i-none,4,2,1,24,300937,12539
list-i-none,8,1,1,24,409241,17051
list-i-none,8,2,1,48,1225478,25530
list-i-none,8,4,1,96,445048,4635
list-i-none,12,1,1,36,1274020,35389
list-i-none,12,2,1,72,1138298,15809
list-d-none,2,1,1,6,289218,48203
list-d-none,2,8,1,48,236358,4924
list-d-none,2,32,1,192,269159,1401
list-d-none,4,2,1,24,311037,12959
list-d-none,4,8,1,96,316625,3298
list-d-none,8,2,1,48,394200,8212
list-d-none,12,1,1,36,535480,14874
list-d-none,12,8,1,288,461542,1602
list-il-none,2,1,1,6,258151,43025
list-il-none,2,4,1,24,270321,11263
list-il-none,4,1,1,12,323615,26967
list-dl-none,2,1,1,6,280248,46708
list-dl-none,2,4,1,24,302365,12598
list-dl-none,2,16,1,96,460092,4792
list-dl-none,4,2,1,24,303736,12655
list-dl-none,4,4,1,48,336704,7014
list-dl-none,12,4,1,144,462734,3213
list-i-m,12,32,1,1152,2133309,1851
list-d-m,12,32,1,1152,1974048,1713
list-il-m,12,32,1,1152,15821549,13733
list-dl-m,12,32,1,1152,12176816,10570
list-i-s,12,32,1,1152,1803302,1565
list-d-s,12,32,1,1152,2275294,1975
list-il-s,12,32,1,1152,14472768,12563
list-dl-s,12,32,1,1152,14508203,12593
list-none-none,1,1000,1,3000,3695482,1231
list-none-m,1,1000,1,3000,3698506,1232
list-none-m,2,1000,1,6000,21942858,3657
list-none-m,4,1000,1,12000,85257733,7104
list-none-m,8,1000,1,24000,-636293270,-26512
list-none-m,12,1000,1,36000,-121751322,-3381
list-none-m,16,1000,1,48000,469742493,9786
list-none-m,24,1000,1,72000,301229724,4183
list-none-s,1,1000,1,3000,3687402,1229
list-none-s,2,1000,1,6000,10232720,1705
list-none-s,4,1000,1,12000,49171841,4097
list-none-s,8,1000,1,24000,-579126570,-24130
list-none-s,12,1000,1,36000,276794254,7688
list-none-s,16,1000,1,48000,156904741,3268
list-none-s,24,1000,1,72000,-308727545,-4287
